test_name,time_raw,dimension,crit1,crit2,avg_memory_mb,max_memory_mb,equation_count,variable_count,memory_per_sec,criteria_sum,resource,config,source_file,test_key,time_seconds,timeout_seconds,timed_out,effective_time_seconds
mickey,0.0002,2,1.0,0.0,26.5859,51.6953,2,2,258476.5625,1.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,mickey,0.0002,,False,0.0002
morgenstern,0.1649,9,114.0,161.0,27.2188,52.5508,5,9,318.6827,275.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,morgenstern,0.1649,,False,0.1649
noon5,6.9847,5,304.0,1995.0,49.9536,56.6055,5,5,8.1042,2299.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,noon5,6.9847,,False,6.9847
noon6,177.7284,6,1427.0,16135.0,67.8498,69.6953,6,6,0.3921,17562.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,noon6,177.7284,,False,177.7284
puma,0.0492,8,84.0,7.0,27.3652,53.1719,8,8,1080.7292,91.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,puma,0.0492,,False,0.0492
quadfor2,0.0016,5,8.0,0.0,26.6699,51.7148,4,5,32321.7773,8.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,quadfor2,0.0016,,False,0.0016
quadgrid,0.0274,6,22.0,2.0,27.1387,52.668,5,6,1922.1886,24.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,quadgrid,0.0274,,False,0.0274
rabmo,2.0670,9,318.0,68.0,41.3682,54.6797,9,9,26.4536,386.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,rabmo,2.067,,False,2.067
rbpl,181.6966,8,1454.0,7240.0,74.6387,79.5039,6,8,0.4376,8694.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,rbpl,181.6966,,False,181.6966
rbpl24,107.8549,9,1227.0,1008.0,107.7867,130.7227,9,9,1.212,2235.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,rbpl24,107.8549,,False,107.8549
redcyc5,0.2552,6,93.0,158.0,27.4727,53.5,5,6,209.6395,251.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,redcyc5,0.2552,,False,0.2552
redcyc6,9.6453,7,414.0,1955.0,51.304,56.9297,6,7,5.9023,2369.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,redcyc6,9.6453,,False,9.6453
redeco10,164.3008,10,7418.0,24789.0,74.6323,80.3789,10,10,0.4892,32207.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,redeco10,164.3008,,False,164.3008
redeco7,0.7319,7,203.0,236.0,36.4727,53.8242,7,7,73.5404,439.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,redeco7,0.7319,,False,0.7319
redeco8,4.2666,8,659.0,1242.0,46.6771,56.0938,8,8,13.1472,1901.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,redeco8,4.2666,,False,4.2666
redeco9,21.8057,9,2194.0,5742.0,56.7257,60.2305,9,9,2.7621,7936.0,RAM,0.5g,data/series_1/RAM/summary_0.5g.csv,redeco9,21.8057,,False,21.8057
