test_name,time_raw,dimension,crit1,crit2,avg_memory_mb,max_memory_mb,equation_count,variable_count,memory_per_sec,criteria_sum,resource,config,source_file,test_key,time_seconds,timeout_seconds,timed_out,effective_time_seconds
reimer4,4.07,4,64.0,312.0,44.5734,56.3008,4,4,13.8331,376.0,CPU,1,data/series_1/CPU/summary_1.csv,reimer4,4.07,,False,4.07
reimer5,76.2669,5,290.0,1960.0,74.8109,82.2188,5,5,1.078,2250.0,CPU,1,data/series_1/CPU/summary_1.csv,reimer5,76.2669,,False,76.2669
rose,0.1954,3,12.0,111.0,0.1875,0.1875,3,3,0.9596,123.0,CPU,1,data/series_1/CPU/summary_1.csv,rose,0.1954,,False,0.1954
s9_1,0.0603,8,74.0,10.0,0.1953,0.1953,8,8,3.239,84.0,CPU,1,data/series_1/CPU/summary_1.csv,s9_1,0.0603,,False,0.0603
solotarev,0.0077,4,18.0,2.0,0.8789,0.8789,4,4,114.1437,20.0,CPU,1,data/series_1/CPU/summary_1.csv,solotarev,0.0077,,False,0.0077
sparse5,0.0015,5,10.0,0.0,0.1992,0.1992,5,5,132.8125,10.0,CPU,1,data/series_1/CPU/summary_1.csv,sparse5,0.0015,,False,0.0015
speer,7.8008,6,100.0,1830.0,49.5469,56.2383,4,6,7.2093,1930.0,CPU,1,data/series_1/CPU/summary_1.csv,speer,7.8008,,False,7.8008
tangents,1.4777,6,226.0,130.0,27.2168,54.2305,6,6,36.6992,356.0,CPU,1,data/series_1/CPU/summary_1.csv,tangents,1.4777,,False,1.4777
test,0.0058,3,1.0,4.0,0.2031,0.2031,4,3,35.0216,5.0,CPU,1,data/series_1/CPU/summary_1.csv,test,0.0058,,False,0.0058
uteshev_bikker,0.3977,4,36.0,65.0,0.1875,0.1875,4,4,0.4715,101.0,CPU,1,data/series_1/CPU/summary_1.csv,uteshev_bikker,0.3977,,False,0.3977
vermeer,0.7335,5,62.0,265.0,0.1348,0.2695,4,5,0.3675,327.0,CPU,1,data/series_1/CPU/summary_1.csv,vermeer,0.7335,,False,0.7335
assur44,268.5635,8,1874.0,3363.0,157.1184,221.9648,8,8,0.8265,5237.0,CPU,4,data/series_1/CPU/summary_4.csv,assur44,268.5635,,False,268.5635
benchmark_D1,46.4133,12,2279.0,2001.0,78.9631,101.3359,12,12,2.1833,4280.0,CPU,4,data/series_1/CPU/summary_4.csv,benchmark_d1,46.4133,,False,46.4133
benchmark_i1,228.2923,10,3518.0,3564.0,180.8709,225.1992,10,10,0.9865,7082.0,CPU,4,data/series_1/CPU/summary_4.csv,benchmark_i1,228.2923,,False,228.2923
boon,0.069,6,108.0,27.0,0.2031,0.2031,6,6,2.9438,135.0,CPU,4,data/series_1/CPU/summary_4.csv,boon,0.069,,False,0.069
butcher,2.5079,7,199.0,391.0,36.3021,54.6133,7,7,21.7765,590.0,CPU,4,data/series_1/CPU/summary_4.csv,butcher,2.5079,,False,2.5079
butcher8,16.143,8,568.0,1333.0,56.1625,61.2695,8,8,3.7954,1901.0,CPU,4,data/series_1/CPU/summary_4.csv,butcher8,16.143,,False,16.143
camera1s,1.1256,6,177.0,94.0,27.8984,55.5312,6,6,49.3348,271.0,CPU,4,data/series_1/CPU/summary_4.csv,camera1s,1.1256,,False,1.1256
caprasse,0.1088,4,65.0,188.0,0.332,0.332,4,4,3.0518,253.0,CPU,4,data/series_1/CPU/summary_4.csv,caprasse,0.1088,,False,0.1088
cassou,1.9585,5,39.0,155.0,40.3958,62.3008,4,5,31.8105,194.0,CPU,4,data/series_1/CPU/summary_4.csv,cassou,1.9585,,False,1.9585
chandra4,0.0231,4,19.0,7.0,0.207,0.207,4,4,8.9624,26.0,CPU,4,data/series_1/CPU/summary_4.csv,chandra4,0.0231,,False,0.0231
chandra5,0.097,5,59.0,48.0,0.2656,0.2656,5,5,2.7384,107.0,CPU,4,data/series_1/CPU/summary_4.csv,chandra5,0.097,,False,0.097
chandra6,0.497,6,188.0,263.0,0.2031,0.2031,6,6,0.4087,451.0,CPU,4,data/series_1/CPU/summary_4.csv,chandra6,0.497,,False,0.497
chemequ,0.3938,5,81.0,60.0,0.1953,0.1953,5,5,0.496,141.0,CPU,4,data/series_1/CPU/summary_4.csv,chemequ,0.3938,,False,0.3938
chemequs,1.0442,5,95.0,78.0,29.5781,58.9766,5,5,56.4801,173.0,CPU,4,data/series_1/CPU/summary_4.csv,chemequs,1.0442,,False,1.0442
chemkin,519.2488,11,2210.0,3923.0,223.3985,359.9609,11,11,0.6932,6133.0,CPU,4,data/series_1/CPU/summary_4.csv,chemkin,519.2488,,False,519.2488
cohn2,3.3295,4,0.0,437.0,43.0732,59.3906,4,4,17.8377,437.0,CPU,4,data/series_1/CPU/summary_4.csv,cohn2,3.3295,,False,3.3295
cohn3,4765.2788,4,81.0,7349.0,504.9613,558.4922,4,4,0.1172,7430.0,CPU,4,data/series_1/CPU/summary_4.csv,cohn3,4765.2788,,False,4765.2788
comb3000,0.1007,10,151.0,19.0,0.1914,0.1914,10,10,1.9008,170.0,CPU,4,data/series_1/CPU/summary_4.csv,comb3000,0.1007,,False,0.1007
