test_name,time_raw,dimension,crit1,crit2,avg_memory_mb,max_memory_mb,equation_count,variable_count,memory_per_sec,criteria_sum,resource,config,source_file,test_key,time_seconds,timeout_seconds,timed_out,effective_time_seconds
lanconelli,0.0047,11,7,2,26.6523,51.8633,4,11,11034.7447,9,SWAP,4,data/series_1/SWAP/summary_4.csv,lanconelli,0.0047,,False,0.0047
lichtblau,0.8461,3,4,111,29.6172,58.3984,2,3,69.0207,115,SWAP,4,data/series_1/SWAP/summary_4.csv,lichtblau,0.8461,,False,0.8461
liu,0.0578,6,22,57,26.9727,52.1953,4,6,903.0329,79,SWAP,4,data/series_1/SWAP/summary_4.csv,liu,0.0578,,False,0.0578
lorentz,0.0278,4,27,15,28.1504,52.043,4,4,1872.0504,42,SWAP,4,data/series_1/SWAP/summary_4.csv,lorentz,0.0278,,False,0.0278
matrix,2.4509,16,4951,6864,41.0205,54.2109,16,16,22.1188,11815,SWAP,4,data/series_1/SWAP/summary_4.csv,matrix,2.4509,,False,2.4509
mickey,0.0004,2,1,0,26.666,51.7031,2,2,129257.75,1,SWAP,4,data/series_1/SWAP/summary_4.csv,mickey,0.0004,,False,0.0004
morgenstern,0.1963,9,114,160,27.3281,52.5508,5,9,267.7066,274,SWAP,4,data/series_1/SWAP/summary_4.csv,morgenstern,0.1963,,False,0.1963
noon5,9.0906,5,304,1988,49.9288,56.6211,5,5,6.2285,2292,SWAP,4,data/series_1/SWAP/summary_4.csv,noon5,9.0906,,False,9.0906
noon6,261.4361,6,1432,16306,67.9186,69.707,6,6,0.2666,17738,SWAP,4,data/series_1/SWAP/summary_4.csv,noon6,261.4361,,False,261.4361
puma,0.0664,8,84,6,27.6426,53.1797,8,8,800.8991,90,SWAP,4,data/series_1/SWAP/summary_4.csv,puma,0.0664,,False,0.0664
quadfor2,0.0019,5,8,0,26.668,51.7344,4,5,27228.6316,8,SWAP,4,data/series_1/SWAP/summary_4.csv,quadfor2,0.0019,,False,0.0019
quadgrid,0.0329,6,22,2,27.125,52.6719,5,6,1600.9696,24,SWAP,4,data/series_1/SWAP/summary_4.csv,quadgrid,0.0329,,False,0.0329
rabmo,2.5997,9,318,63,41.3975,54.6992,9,9,21.0406,381,SWAP,4,data/series_1/SWAP/summary_4.csv,rabmo,2.5997,,False,2.5997
rbpl,238.5581,8,1454,7244,75.0797,80.1094,6,8,0.3358,8698,SWAP,4,data/series_1/SWAP/summary_4.csv,rbpl,238.5581,,False,238.5581
rbpl24,147.2,9,1227,1011,107.3966,129.793,9,9,0.8817,2238,SWAP,4,data/series_1/SWAP/summary_4.csv,rbpl24,147.2,,False,147.2
redcyc5,0.3022,6,93,158,27.5059,53.5117,5,6,177.0738,251,SWAP,4,data/series_1/SWAP/summary_4.csv,redcyc5,0.3022,,False,0.3022
redcyc6,13.2063,7,424,1988,51.7425,56.8789,6,7,4.307,2412,SWAP,4,data/series_1/SWAP/summary_4.csv,redcyc6,13.2063,,False,13.2063
redeco10,222.2832,10,7418,24792,73.8725,79.25,10,10,0.3565,32210,SWAP,4,data/series_1/SWAP/summary_4.csv,redeco10,222.2832,,False,222.2832
redeco7,0.6666,7,203,249,27.4785,53.6602,7,7,80.4983,452,SWAP,4,data/series_1/SWAP/summary_4.csv,redeco7,0.6666,,False,0.6666
redeco8,5.5163,8,659,1242,46.6374,56.043,8,8,10.1595,1901,SWAP,4,data/series_1/SWAP/summary_4.csv,redeco8,5.5163,,False,5.5163
redeco9,31.1834,9,2194,5727,57.1462,60.5977,9,9,1.9433,7921,SWAP,4,data/series_1/SWAP/summary_4.csv,redeco9,31.1834,,False,31.1834
